comuna,station_id,day,avg_pm25,num_hourly_obs
Puente Alto,D15,2021-07-14,59.0,24
Quilicura,D31,2021-07-14,76.9047619047619,21
Santiago,D13,2021-07-14,72.875,24
Pudahuel,D30,2021-07-15,88.54166666666667,24
Puente Alto,D15,2021-07-15,60.125,24
Quilicura,D31,2021-07-15,77.375,24
Santiago,D13,2021-07-15,66.66666666666667,24
Pudahuel,D30,2021-07-16,58.75,24
Quilicura,D31,2021-07-16,57.708333333333336,24
Pudahuel,D30,2021-07-17,109.5,24
Puente Alto,D15,2021-07-17,55.458333333333336,24
Quilicura,D31,2021-07-17,65.16666666666667,24
Santiago,D13,2021-07-17,64.875,24
Pudahuel,D30,2021-07-18,102.5,24
Quilicura,D31,2021-07-18,51.75,24
Pudahuel,D30,2021-07-19,69.0,24
Pudahuel,D30,2021-07-20,65.375,24
Pudahuel,D30,2021-07-21,68.375,24
Quilicura,D31,2021-07-21,56.875,24
Pudahuel,D30,2021-07-22,75.41666666666667,24
Puente Alto,D15,2021-07-22,52.958333333333336,24
Quilicura,D31,2021-07-22,73.5,24
Santiago,D13,2021-07-22,66.58333333333333,24
Pudahuel,D30,2021-07-23,64.54166666666667,24
Quilicura,D31,2021-07-23,71.20833333333333,24
Santiago,D13,2021-07-23,60.041666666666664,24
Quilicura,D31,2021-07-24,51.083333333333336,24
Pudahuel,D30,2021-07-28,64.625,24
Pudahuel,D30,2021-07-29,71.0,24
Quilicura,D31,2021-07-29,52.875,24
Pudahuel,D30,2021-07-30,71.66666666666667,24
Quilicura,D31,2021-07-30,66.0,24
Santiago,D13,2021-07-30,53.416666666666664,24
Pudahuel,D30,2021-07-31,98.45833333333333,24
Puente Alto,D15,2021-07-31,52.916666666666664,24
Quilicura,D31,2021-07-31,76.375,24
Santiago,D13,2021-07-31,67.29166666666667,24
Pudahuel,D30,2021-08-01,108.95833333333333,24
Quilicura,D31,2021-08-01,65.41666666666667,24
Santiago,D13,2021-08-01,58.625,24
Pudahuel,D30,2021-08-02,55.875,24
Pudahuel,D30,2021-08-03,50.833333333333336,24
Pudahuel,D30,2021-08-04,52.791666666666664,24
Puente Alto,D15,2021-08-04,55.666666666666664,24
Quilicura,D31,2021-08-04,63.458333333333336,24
Santiago,D13,2021-08-04,52.25,24
Las Condes,D14,2021-08-05,54.0,23
Puente Alto,D15,2021-08-05,55.458333333333336,24
Quilicura,D31,2021-08-05,54.916666666666664,24
Santiago,D13,2021-08-05,51.375,24
Pudahuel,D30,2021-08-06,53.166666666666664,24
Puente Alto,D15,2021-08-06,54.375,24
Quilicura,D31,2021-08-06,65.91666666666667,24
Santiago,D13,2021-08-06,60.583333333333336,24
Pudahuel,D30,2021-08-11,53.583333333333336,24
Quilicura,D31,2021-08-11,51.0,24
Las Condes,D14,2021-08-13,61.166666666666664,24
Pudahuel,D30,2021-08-13,74.91666666666667,24
Puente Alto,D15,2021-08-13,62.75,24
Quilicura,D31,2021-08-13,71.83333333333333,24
Santiago,D13,2021-08-13,71.29166666666667,24
Pudahuel,D30,2021-08-14,116.375,24
Puente Alto,D15,2021-08-14,79.41666666666667,24
Quilicura,D31,2021-08-14,93.41666666666667,24
Santiago,D13,2021-08-14,80.58333333333333,24
Las Condes,D14,2021-08-15,63.625,24
Pudahuel,D30,2021-08-15,52.833333333333336,24
Puente Alto,D15,2021-08-15,80.79166666666667,24
Quilicura,D31,2021-08-15,60.666666666666664,24
Santiago,D13,2021-08-15,56.75,24
Pudahuel,D30,2021-08-29,59.81818181818182,22
Pudahuel,D30,2022-04-29,50.375,24
Pudahuel,D30,2022-05-06,54.625,24
Puente Alto,D15,2022-05-06,56.541666666666664,24
Quilicura,D31,2022-05-06,58.5,24
Santiago,D13,2022-05-06,55.166666666666664,24
Pudahuel,D30,2022-05-07,57.416666666666664,24
Quilicura,D31,2022-05-07,56.25,24
Pudahuel,D30,2022-05-10,55.291666666666664,24
Quilicura,D31,2022-05-10,58.666666666666664,24
Santiago,D13,2022-05-10,53.541666666666664,24
Las Condes,D14,2022-05-11,53.75,24
Puente Alto,D15,2022-05-11,52.625,24
Quilicura,D31,2022-05-11,59.041666666666664,24
Santiago,D13,2022-05-11,56.166666666666664,24
Las Condes,D14,2022-05-12,50.666666666666664,24
Puente Alto,D15,2022-05-12,56.04761904761905,21
Quilicura,D31,2022-05-12,52.083333333333336,24
Santiago,D13,2022-05-12,55.166666666666664,24
Pudahuel,D30,2022-05-13,51.916666666666664,24
Quilicura,D31,2022-05-13,50.375,24
Santiago,D13,2022-05-13,51.375,24
Pudahuel,D30,2022-05-14,64.29166666666667,24
Quilicura,D31,2022-05-14,63.458333333333336,24
Santiago,D13,2022-05-14,52.416666666666664,24
Pudahuel,D30,2022-05-15,73.04166666666667,24
Quilicura,D31,2022-05-15,58.166666666666664,24
Santiago,D13,2022-05-15,52.708333333333336,24
Quilicura,D31,2022-05-16,65.125,24
Santiago,D13,2022-05-16,53.75,24
Pudahuel,D30,2022-05-17,64.45833333333333,24
Puente Alto,D15,2022-05-17,61.25,24
Quilicura,D31,2022-05-17,67.58333333333333,24
Santiago,D13,2022-05-17,66.54166666666667,24
Pudahuel,D30,2022-05-18,54.833333333333336,24
Puente Alto,D15,2022-05-18,65.95652173913044,23
Quilicura,D31,2022-05-18,71.375,24
Santiago,D13,2022-05-18,70.29166666666667,24
Pudahuel,D30,2022-05-22,50.583333333333336,24
Pudahuel,D30,2022-05-27,63.583333333333336,24
Puente Alto,D15,2022-05-27,66.29166666666667,24
Quilicura,D31,2022-05-27,77.34782608695652,23
Santiago,D13,2022-05-27,76.73913043478261,23
Las Condes,D14,2022-05-28,55.083333333333336,24
Pudahuel,D30,2022-05-28,88.5,24
Puente Alto,D15,2022-05-28,74.125,24
Quilicura,D31,2022-05-28,102.95833333333333,24
Santiago,D13,2022-05-28,103.375,24
Pudahuel,D30,2022-05-29,59.0,24
Puente Alto,D15,2022-05-29,59.583333333333336,24
Quilicura,D31,2022-05-29,60.75,24
Santiago,D13,2022-05-29,60.375,24
Pudahuel,D30,2022-05-30,52.625,24
Quilicura,D31,2022-05-30,53.75,24
Santiago,D13,2022-05-30,51.958333333333336,24
Pudahuel,D30,2022-05-31,54.208333333333336,24
Quilicura,D31,2022-05-31,52.041666666666664,24
Santiago,D13,2022-05-31,51.625,24
Pudahuel,D30,2022-06-08,52.416666666666664,24
Las Condes,D14,2022-06-09,51.25,24
Pudahuel,D30,2022-06-09,64.29166666666667,24
Puente Alto,D15,2022-06-09,52.5,24
Quilicura,D31,2022-06-09,62.34782608695652,23
Santiago,D13,2022-06-09,56.125,24
Pudahuel,D30,2022-06-10,103.45833333333333,24
Puente Alto,D15,2022-06-10,53.708333333333336,24
Quilicura,D31,2022-06-10,85.29166666666667,24
Santiago,D13,2022-06-10,67.70833333333333,24
Pudahuel,D30,2022-06-11,98.625,24
Puente Alto,D15,2022-06-11,57.541666666666664,24
Quilicura,D31,2022-06-11,71.83333333333333,24
Santiago,D13,2022-06-11,53.333333333333336,24
Pudahuel,D30,2022-06-12,57.375,24
Puente Alto,D15,2022-06-12,78.79166666666667,24
Quilicura,D31,2022-06-12,82.75,24
Santiago,D13,2022-06-12,73.20833333333333,24
Puente Alto,D15,2022-06-13,72.83333333333333,24
Quilicura,D31,2022-06-13,54.875,24
Santiago,D13,2022-06-13,53.0,24
Las Condes,D14,2022-06-14,55.541666666666664,24
Pudahuel,D30,2022-06-14,53.583333333333336,24
Quilicura,D31,2022-06-14,66.41666666666667,24
Pudahuel,D30,2022-06-15,65.125,24
Quilicura,D31,2022-06-15,54.166666666666664,24
Pudahuel,D30,2022-06-17,55.25,24
Quilicura,D31,2022-06-17,51.541666666666664,24
Pudahuel,D30,2022-06-18,78.83333333333333,24
Puente Alto,D15,2022-06-18,59.458333333333336,24
Quilicura,D31,2022-06-18,69.29166666666667,24
Santiago,D13,2022-06-18,73.79166666666667,24
Pudahuel,D30,2022-06-19,106.0,24
Puente Alto,D15,2022-06-19,65.29166666666667,24
Quilicura,D31,2022-06-19,97.75,24
Santiago,D13,2022-06-19,85.875,24
Las Condes,D14,2022-06-20,51.583333333333336,24
Pudahuel,D30,2022-06-20,69.54166666666667,24
Puente Alto,D15,2022-06-20,58.791666666666664,24
Quilicura,D31,2022-06-20,79.5,24
Santiago,D13,2022-06-20,75.16666666666667,24
Pudahuel,D30,2022-06-25,59.708333333333336,24
Pudahuel,D30,2022-06-26,78.625,24
Quilicura,D31,2022-06-26,74.70833333333333,24
Santiago,D13,2022-06-26,64.0,24
Pudahuel,D30,2022-06-27,69.41666666666667,24
Pudahuel,D30,2022-06-29,52.833333333333336,24
Pudahuel,D30,2022-07-03,87.76190476190476,21
Quilicura,D31,2022-07-03,59.125,24
Santiago,D13,2022-07-03,59.625,24
Pudahuel,D30,2022-07-04,67.66666666666667,24
Quilicura,D31,2022-07-04,60.75,24
Santiago,D13,2022-07-04,57.166666666666664,24
Pudahuel,D30,2022-07-05,52.333333333333336,24
Santiago,D13,2022-07-07,53.833333333333336,24
Pudahuel,D30,2022-07-17,51.166666666666664,24
Pudahuel,D30,2022-07-18,55.375,24
Pudahuel,D30,2022-07-19,68.58333333333333,24
Pudahuel,D30,2022-07-20,55.916666666666664,24
Quilicura,D31,2022-07-20,52.666666666666664,24
Pudahuel,D30,2022-07-21,56.1,20
Quilicura,D31,2022-07-21,50.5,24
Pudahuel,D30,2022-07-22,54.833333333333336,24
Quilicura,D31,2022-07-22,51.708333333333336,24
Santiago,D13,2022-07-22,54.25,24
Santiago,D13,2022-07-23,50.75,24
Puente Alto,D15,2022-07-31,50.125,24
Las Condes,D14,2022-08-02,52.458333333333336,24
Puente Alto,D15,2022-08-02,51.95652173913044,23
Quilicura,D31,2022-08-02,51.541666666666664,24
Santiago,D13,2022-08-02,58.041666666666664,24
Pudahuel,D30,2022-08-19,51.958333333333336,24
Pudahuel,D30,2022-08-20,71.41666666666667,24
Quilicura,D31,2022-08-20,51.625,24
Pudahuel,D30,2022-08-21,50.666666666666664,24
Quilicura,D31,2022-08-23,51.375,24
Santiago,D13,2022-08-23,53.291666666666664,24
Pudahuel,D30,2022-08-24,53.875,24
Quilicura,D31,2022-08-24,57.791666666666664,24
Santiago,D13,2022-08-24,57.5,24
Pudahuel,D30,2022-08-25,58.208333333333336,24
Quilicura,D31,2022-08-25,58.208333333333336,24
Santiago,D13,2022-08-25,52.25,24
Quilicura,D31,2022-08-26,51.958333333333336,24
Santiago,D13,2022-08-26,52.375,24
Pudahuel,D30,2022-08-28,51.416666666666664,24
Pudahuel,D30,2022-09-02,53.291666666666664,24
Pudahuel,D30,2022-09-03,54.833333333333336,24
Pudahuel,D30,2022-12-16,94.83333333333333,24
Santiago,D13,2022-12-16,77.5,24
Pudahuel,D30,2023-02-06,52.208333333333336,24
Las Condes,D14,2023-02-07,61.08695652173913,23
Pudahuel,D30,2023-02-07,73.75,24
Puente Alto,D15,2023-02-07,66.5,24
Quilicura,D31,2023-02-07,71.66666666666667,24
Santiago,D13,2023-02-07,72.08333333333333,24
Las Condes,D14,2023-02-08,61.666666666666664,24
Pudahuel,D30,2023-02-08,51.666666666666664,24
Puente Alto,D15,2023-02-08,61.916666666666664,24
Quilicura,D31,2023-02-08,60.625,24
Santiago,D13,2023-02-08,55.791666666666664,24
Las Condes,D14,2023-02-09,66.25,24
Pudahuel,D30,2023-02-09,67.875,24
Puente Alto,D15,2023-02-09,77.83333333333333,24
Quilicura,D31,2023-02-09,71.04166666666667,24
Santiago,D13,2023-02-09,69.54166666666667,24
Las Condes,D14,2023-02-10,55.333333333333336,24
Pudahuel,D30,2023-02-10,64.70833333333333,24
Puente Alto,D15,2023-02-10,58.25,24
Quilicura,D31,2023-02-10,72.58333333333333,24
Santiago,D13,2023-02-10,67.58333333333333,24
Pudahuel,D30,2023-05-05,52.625,24
Puente Alto,D15,2023-05-05,50.875,24
Santiago,D13,2023-05-05,50.333333333333336,24
Pudahuel,D30,2023-05-06,61.208333333333336,24
Puente Alto,D15,2023-05-06,57.5,24
Quilicura,D31,2023-05-06,54.583333333333336,24
Santiago,D13,2023-05-06,51.833333333333336,24
Pudahuel,D30,2023-05-07,78.58333333333333,24
Quilicura,D31,2023-05-07,68.95833333333333,24
Santiago,D13,2023-05-07,78.41666666666667,24
Pudahuel,D30,2023-05-08,70.91666666666667,24
Santiago,D13,2023-05-08,60.541666666666664,24
Pudahuel,D30,2023-05-09,64.375,24
Pudahuel,D30,2023-05-10,57.25,24
Quilicura,D31,2023-05-10,55.25,24
Pudahuel,D30,2023-05-13,57.0,24
Pudahuel,D30,2023-05-14,67.70833333333333,24
Pudahuel,D30,2023-05-28,55.75,24
Quilicura,D31,2023-05-28,55.583333333333336,24
Santiago,D13,2023-05-28,63.416666666666664,24
Pudahuel,D30,2023-05-29,56.041666666666664,24
Quilicura,D31,2023-05-29,51.208333333333336,24
Santiago,D13,2023-05-29,62.541666666666664,24
Pudahuel,D30,2023-05-30,68.45833333333333,24
Quilicura,D31,2023-05-30,64.0,24
Santiago,D13,2023-05-30,63.666666666666664,24
Pudahuel,D30,2023-05-31,69.20833333333333,24
Quilicura,D31,2023-05-31,62.21739130434783,23
Santiago,D13,2023-05-31,67.125,24
Pudahuel,D30,2023-06-01,60.5,24
Quilicura,D31,2023-06-01,52.833333333333336,24
Pudahuel,D30,2023-06-06,50.25,24
Santiago,D13,2023-06-06,52.125,24
Pudahuel,D30,2023-06-07,54.375,24
Quilicura,D31,2023-06-07,50.625,24
Santiago,D13,2023-06-07,57.333333333333336,24
Pudahuel,D30,2023-06-12,63.541666666666664,24
Quilicura,D31,2023-06-12,55.0,24
Santiago,D13,2023-06-12,57.25,24
Pudahuel,D30,2023-06-13,81.41666666666667,24
Quilicura,D31,2023-06-13,52.25,24
Santiago,D13,2023-06-13,51.5,24
Pudahuel,D30,2023-06-14,71.04347826086956,23
Quilicura,D31,2023-06-14,50.291666666666664,24
Pudahuel,D30,2023-06-15,62.416666666666664,24
Quilicura,D31,2023-06-15,52.875,24
Santiago,D13,2023-06-15,50.875,24
Pudahuel,D30,2023-06-16,74.45833333333333,24
Quilicura,D31,2023-06-16,64.08333333333333,24
Santiago,D13,2023-06-16,50.333333333333336,18
Pudahuel,D30,2023-06-17,119.66666666666667,24
Quilicura,D31,2023-06-17,62.291666666666664,24
Santiago,D13,2023-06-17,55.208333333333336,24
Pudahuel,D30,2023-06-18,93.25,24
Quilicura,D31,2023-06-18,52.916666666666664,24
Pudahuel,D30,2023-06-28,50.791666666666664,24
